404media.co,@404mediaco@mastodon.social,404 Media
anildash.com,@anildash@me.dm,Anil Dash
bellingcat.com,@Bellingcat@mstdn.social,Bellingcat
theconversation.com,@TheConversationUS@newsie.social,The Conversation
pluralistic.net,@pluralistic@mamot.fr,Cory Doctorow
davidrevoy.com,@davidrevoy@framapiaf.org,David Revoy
eff.org,@eff@mastodon.social,EFF Deeplinks
emptywheel.net,@emptywheel@mastodon.social,Empty Wheel
globalvoices.org,@globalvoices@mstdn.social,Global Voices
knowablemagazine.org,@KnowableMag@mstdn.science,Knowable Magazine
citationneeded.news,@molly0xfff@hachyderm.io,Molly White
propublica.org,@ProPublica@newsie.social,ProPublica
therealnews.com,@therealnews@mastodon.social,The Real News Network
techdirt.com,@mmasnick@mastodon.social,Techdirt
diff.wikimedia.org,@wikimediafoundation@wikimedia.social,Wikimedia
